Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,,,
SEC24B,37.97222222,23,0.605705925,-0.723310568,-0.217738178,,
HTT,35.86111111,22,0.613477924,-0.704916663,-0.212201061,,
CMYA5,0.647222222,0.4,0.61802575,-0.694261143,-0.20899343,,
LHCGR,0.16,0.1,0.624999996,-0.678071912,-0.204119985,,
KLB,1.12,0.7,0.624999999,-0.678071904,-0.204119983,,
CNTRL,28.75,18,0.626086956,-0.675565047,-0.203365344,,
ECT2L,1.102777778,0.7,0.634760705,-0.655715273,-0.197389966,,
HDAC4,11.02777778,7,0.634760705,-0.655715272,-0.197389966,,
WRAP73,31.2,20,0.641025641,-0.641546027,-0.193124598,,
EEF1A2,171.5222222,110,0.641316318,-0.640891976,-0.19292771,,
UGGT2,16.37142857,10.5,0.641361257,-0.640790887,-0.192897279,,
EPHA1,3.115625,2,0.641925777,-0.639521598,-0.192515184,,
KLHL11,20.19444444,13,0.643741403,-0.635446832,-0.191288558,,
DNAJC13,40.25,26,0.645962733,-0.630477158,-0.189792537,,
STXBP3,26.19444444,17,0.648992577,-0.623726116,-0.187760271,,
TRPV3,1.073913043,0.7,0.651821862,-0.617450353,-0.185871078,,
SHANK3,13.76111111,9,0.654016956,-0.612600053,-0.184410992,,
CLCN3,49.88888889,33,0.661469933,-0.596252512,-0.179489892,,
ZP2,0.15,0.1,0.666666662,-0.584962508,-0.176091262,,
CCNY,58.38888889,39,0.6679353,-0.582219732,-0.175265604,,
PODNL1,0.88,0.6,0.681818181,-0.552541023,-0.166331422,,
PDIA5,30.58333333,21,0.686648501,-0.542356327,-0.163265523,,
ADAR,192.1666667,132,0.686903729,-0.541820175,-0.163104126,,
NDRG3,84.27777778,58,0.688200396,-0.539099372,-0.162285082,,
NCOR2,62.33333333,43,0.689839572,-0.535667202,-0.161251896,,
CDO1,14.47142857,10,0.691016782,-0.533207345,-0.160511405,,
MUC19,1.011111111,0.7,0.692307692,-0.530514716,-0.159700843,,
ANO3,1.430769231,1,0.698924731,-0.516790997,-0.155569592,,
SEMA5B,4.281818182,3,0.700636943,-0.513261034,-0.154506967,,
SMAD9,81.25,57,0.701538462,-0.511405892,-0.153948514,,
HIVEP1,11.33333333,8,0.705882353,-0.502500339,-0.151267675,,
NLRC5,2.826470588,2,0.707596254,-0.499001683,-0.150214475,,
CYP2A7,0.14,0.1,0.714285709,-0.485426835,-0.146128039,,
ZNF250,14,10,0.714285714,-0.485426825,-0.146128036,,
CCPG1,4.194444444,3,0.715231788,-0.483517235,-0.145553192,,
LAMA1,5.591666667,4,0.715350223,-0.483278359,-0.145481283,,
KLHL22,27.77777778,20,0.72,-0.473931186,-0.142667504,,
HDLBP,157.8333333,114,0.722280887,-0.469368099,-0.141293877,,
NAA25,34.55555556,25,0.723472669,-0.466989577,-0.140577871,,
NBEAL2,23.47222222,17,0.724260355,-0.465419687,-0.140105287,,
FOXP2,4.123529412,3,0.727532097,-0.458917196,-0.138147842,,
C2orf76,16.44444444,12,0.72972973,-0.454565862,-0.13683796,,
TRIM21,10.94722222,8,0.73077899,-0.452492936,-0.136213947,,
FTH1,281.6111111,206,0.731505228,-0.451059918,-0.135782566,,
LRRC72,0.136363636,0.1,0.733333328,-0.447458986,-0.134698577,,
PNRC1,31.19444444,23,0.737310775,-0.439655253,-0.132349419,,
THADA,13.55555556,10,0.737704918,-0.438884239,-0.132117321,,
GPLD1,5.413888889,4,0.738840431,-0.436665277,-0.131449347,,
NTNG1,6.748387097,5,0.740917782,-0.432614634,-0.130229982,,
NSUN6,18.88888889,14,0.741176471,-0.432111011,-0.130078376,,
PLEKHG4,31.02777778,23,0.741271262,-0.431926511,-0.130022836,,
PLEKHG2,37.61111111,28,0.744460857,-0.425732098,-0.128158132,,
PTPRF,154.3611111,115,0.745006298,-0.424675471,-0.127840056,,
SH2B3,17.44444444,13,0.74522293,-0.424256027,-0.127713791,,
TLR8,0.133333333,0.1,0.749999994,-0.415037508,-0.12493874,,
CRYBG3,23.79166667,18,0.756567426,-0.402459431,-0.121152361,,
GOLGB1,58.05555556,44,0.757894737,-0.399930605,-0.120391109,,
RPTOR,32.94444444,25,0.758853288,-0.398107101,-0.11984218,,
AQR,25.62857143,19.5,0.760869565,-0.394278937,-0.118689787,,
PIK3C2B,22.31666667,17,0.761762509,-0.392586807,-0.118180405,,
RPAP1,27.52777778,21,0.762865792,-0.390498821,-0.117551859,,
ARHGAP5,34,26,0.764705882,-0.387023121,-0.116505569,,
ZFYVE26,12.97222222,10,0.770877944,-0.375425642,-0.11301438,,
LRRC8A,55.36111111,43,0.776718515,-0.364536237,-0.109736342,,
EIF3E,169.8611111,133,0.782992641,-0.352929345,-0.10624232,,
TNRC18,40.66666667,32,0.786885246,-0.345774835,-0.104088598,,
USP34,40.44444444,32,0.791208791,-0.337869637,-0.101708896,,
AVPR1B,1.252,1,0.798722044,-0.324234562,-0.097604329,,
CAMTA1,23.27777778,19,0.816229117,-0.292953917,-0.088187917,,
PIP4K2A,24.19444444,20,0.82663605,-0.274675811,-0.082685659,,
SMARCC2,83.44444444,69,0.82689747,-0.274219638,-0.082548337,,
ALG3,53.91666667,45,0.834621329,-0.260806303,-0.078510521,,
BCAR3,8.333333333,7,0.84,-0.251538765,-0.075720714,,
WDR17,15.41944444,13,0.843091335,-0.246239162,-0.074125374,,
TPRN,20.88888889,18,0.861702128,-0.214738847,-0.064642835,,
EPOR,25.39722222,22,0.866236465,-0.207167188,-0.062363538,,
RAD50,2.302777778,2,0.868516284,-0.203375194,-0.061222034,,
UBA5,34.5,30,0.869565217,-0.20163386,-0.06069784,,
PMAIP1,152.6111111,133,0.871496178,-0.198433756,-0.059734513,,
GALNT16,8.008333333,7,0.87408949,-0.194147102,-0.058444102,,
FUNDC2,23.88888889,21,0.879069767,-0.185950424,-0.055976656,,
C11orf68,46.58333333,41,0.880143113,-0.184189966,-0.055446705,,
KHNYN,30.61944444,27,0.881792615,-0.181488698,-0.054633543,,
COIL,54.02777778,48,0.888431877,-0.170666936,-0.051375868,,
MRPS15,86.58333333,77,0.889316651,-0.169230896,-0.050943576,,
LECT2,1.121428571,1,0.891719744,-0.165337732,-0.049771617,,
PRSS36,1.111111111,1,0.899999999,-0.152003093,-0.045757491,,
FANCF,41.11111111,37,0.9,-0.152003092,-0.045757491,,
OR1J4,0.22,0.2,0.909090905,-0.137503529,-0.041392687,,
IGF1R,22,20,0.909090909,-0.137503522,-0.041392685,,
MOSPD2,17.58333333,16,0.909952607,-0.136136686,-0.040981227,,
RBAK,23.97222222,22,0.917728853,-0.123860128,-0.037285614,,
PTPRK,42.48888889,39,0.917887029,-0.123611491,-0.037210767,,
