Gene,Avg_TPM_Without_Neo,Avg_TPM_With_Neo,Ratio_Without_With,Log2_Ratio,
DOCK9,19.88888889,26,1.30726257,0.386548943,0.116362826
ABCC8,9.558064516,12.5,1.307796152,0.387137685,0.116540055
FCGBP,2.287878788,3,1.311258278,0.390951881,0.117688243
KANK2,32.02777778,42,1.311361665,0.391065628,0.117722484
FGF12,14.48285714,19,1.311895837,0.391653178,0.117899354
PLA2G6,12.16666667,16,1.315068493,0.395137943,0.118948373
BUB1B,127.6944444,168,1.315640635,0.395765474,0.119137279
TMTC1,12.92121212,17,1.315666041,0.395793334,0.119145665
DOCK4,14.43611111,19,1.316143929,0.396317267,0.119303385
GON4L,28.83333333,38,1.317919075,0.398261788,0.119888744
MAP3K10,22.63888889,30,1.325153374,0.406159349,0.122266147
CLCN1,0.377272727,0.5,1.325301201,0.406320279,0.122314592
TP53BP1,40.69444444,54,1.326962457,0.408127555,0.122858636
CYFIP1,40.68055556,54,1.3274155,0.408620027,0.123006885
ZFHX4,9.779411765,13,1.329323308,0.41069203,0.12363062
CTNND2,18.84827586,25.06666667,1.329918283,0.411337603,0.123824956
DYNC2H1,7.513888889,10,1.330868761,0.412368313,0.124135231
OR6F1,0.15,0.2,1.333333324,0.415037491,0.124938734
PLBD2,41.97222222,56,1.334215751,0.415991979,0.125226063
EPC1,11.22222222,15,1.336633663,0.418604115,0.126012395
USP42,21.69444444,29,1.336747759,0.418727259,0.126049465
BAZ1B,209.4571429,280.5,1.339176101,0.421345688,0.12683769
PTPRZ1,35.05882353,47,1.340604027,0.422883174,0.12730052
GK5,18.55555556,25,1.347305389,0.4300769,0.129466047
SLC38A6,7.416666667,10,1.348314607,0.431157166,0.129791239
SDR42E1,9.6375,13,1.348897536,0.431780764,0.129978961
GATA6,2.961290323,4,1.350762527,0.433774062,0.130579004
MYH10,110.1111111,149,1.353178607,0.436352276,0.131355123
INTS6,7.388888889,10,1.353383458,0.436570662,0.131420864
DNAH17,1.477142857,2,1.353965183,0.437190642,0.131607497
NIPBL,64.13888889,87,1.356431356,0.439816041,0.13239782
SEC16A,74.97222222,102,1.36050389,0.444141083,0.133699788
IGF2R,55.83333333,76,1.36119403,0.44487273,0.133920036
EVX2,0.660714286,0.9,1.36216216,0.445898462,0.134228812
NDUFA4L2,13.20277778,18,1.363349463,0.447155412,0.134607192
NKG7,0.732352941,1,1.365461846,0.449389003,0.135279569
POLG,46.72222222,64,1.36979786,0.453963012,0.136656483
ADCY2,4.379166667,6,1.370123691,0.454306143,0.136759776
ZAP70,0.364705882,0.5,1.370967738,0.455194623,0.137027235
HGF,18.6,25.5,1.370967742,0.455194627,0.137027236
WSCD2,2.90952381,4,1.374795417,0.459216948,0.138238076
SLC25A40,37.80555556,52,1.375459221,0.459913369,0.138447719
UBA6,37.80555556,52,1.375459221,0.459913369,0.138447719
UFM1,64.63888889,89,1.376880103,0.461402938,0.138896124
ZDHHC16,35.55555556,49,1.378125,0.462706752,0.139288611
FBXW8,24.61111111,34,1.381489842,0.466224955,0.140347696
GTPBP1,48.41666667,67,1.383820998,0.468657339,0.141079916
RFX3,22.36111111,31,1.386335404,0.47127634,0.141868314
CACNA1E,5.768965517,8,1.386730424,0.471687361,0.141992044
TACR3,0.721052632,1,1.386861312,0.471823524,0.142033033
ZFPL1,11.52777778,16,1.387951807,0.472957476,0.142374387
ACAD9,48.80555556,68,1.393284007,0.478489368,0.144039652
ESRRG,10.04285714,14,1.394025604,0.479257061,0.144270751
KIF5A,35.86111111,50,1.394268009,0.479507907,0.144346263
PTEN,17.57142857,24.5,1.394308943,0.479550262,0.144359013
TENM1,20.75714286,29,1.397109429,0.482445025,0.145230424
NFATC1,5.716666667,8,1.399416909,0.48482583,0.145947117
GYS1,41.44444444,58,1.399463807,0.484874177,0.145961671
CILP2,2.854285714,4,1.401401401,0.486870245,0.146562547
NFAT5,14.97222222,21,1.402597403,0.488100962,0.14693303
SUPT7L,52.61111111,74,1.40654699,0.492157753,0.148154246
ZBTB34,17.75,25,1.408450704,0.494109071,0.148741651
EXOC1,35.47222222,50,1.409553641,0.495238382,0.149081608
CYP7A1,0.141666667,0.2,1.411764696,0.49749965,0.149762317
OR1Q1,0.566666667,0.8,1.411764703,0.497499658,0.14976232
AP1G2,22.66666667,32,1.411764706,0.49749966,0.14976232
IFT140,23.30555556,33,1.415971394,0.501792121,0.15105448
ZNF177,0.140909091,0.2,1.419354829,0.505235299,0.15209098
SCAPER,11.97222222,17,1.419953596,0.505843784,0.152274152
ROCK2,37.91666667,54,1.424175824,0.510127269,0.153563609
LRRC37A3,2.105555556,3,1.42480211,0.510761559,0.15375455
TMED5,31.58333333,45,1.424802111,0.51076156,0.15375455
PPIP5K2,17.52777778,25,1.426307448,0.512284997,0.15421315
INTS1,99.54285714,142,1.42652124,0.512501229,0.154278242
CUX1,29.41666667,42,1.42776204,0.513755551,0.154655831
EIF3L,141.3333333,202,1.429245283,0.51525353,0.155106768
WDTC1,57.97222222,83,1.431720172,0.517749549,0.155858144
ADAM22,33.83428571,48.5,1.433457186,0.519498817,0.156384726
PROSER1,70.33333333,101,1.436018957,0.522074796,0.157160173
LRP2,1.146428571,1.65,1.439252335,0.525319554,0.158136943
